ID,TITLE,LOCATION,SALARY,SUMMARY,LINK
222,IT Systems Administrator,"Renton, WA 98057",,"Proven background in bash and python coding languages.
 This role is responsible for day-to-day management of our Apple environment and services including MDM…",https://www.indeed.com/viewjob?jk=98266b3ac062fd20
223,BASICS Consultant - Python Development,Remote,$300 - $500 a day,"This is a globally remote, full-time three-month contract budgeted for a rate in the range of US $300-500 per day.",https://www.indeed.com/viewjob?jk=edb59cd10b664b7c
224,Junior Python Developer,"New York, NY 10022 (Midtown area)",,"GTS accounts for 3-5% of daily cash equities volume in the U.S. and trades over 30,000 different instruments globally, including listed and OTC equities, ETFs,…",https://www.indeed.com/viewjob?jk=f8f068da6dd93fa6
225,"RESEARCHER, PANDEMICS","Seattle, WA",,"This position will work on IHME’s groundbreaking COVID-19 projections project, developing and conducting novel analyses to measure the COVID-19 pandemic.",https://www.indeed.com/viewjob?jk=d249f293b7862a00
226,Python Developer,"Chicago, IL 60606 (Loop area)",,"Duration & Type: 12 Month Contract to Start.
 Compensation: Competitive W2 Hourly Rate, Access to Healthcare and Dental Insurance Plan of Choice.",https://www.indeed.com/viewjob?jk=2995a53947efd249
227,Data Journalist,United States,,"1+ years of experience with python and/or R programming.
 The Data Journalist – Visualization Analyst will be a key member of the TIAA Financial Services (TFS)…",https://www.indeed.com/viewjob?jk=90da3e32a2785040
228,"Python Developer

new","Phoenix, AZ",$39 - $45 an hour,"Developer will participate in SlackBOT development, API Integration and Microservices development.
 Years of Experience: * 7 years minimum.",https://www.indeed.com/viewjob?jk=f0c09198c9fdfdba
229,"Winter/Spring 2021 Internship, Analytics",New York State,,"ACLU Analytics partners with teams across the organization to enable the ACLU to make smart, evidence-based decisions and bring quantitative insights on our…",https://www.indeed.com/viewjob?jk=1d1843affe2a6bc0
230,Associate Product Manager,"Seattle, WA 98104 (Pioneer Square area)",,"Product | Seattle, WA USA.
 Placements.io is changing the way digital media publishers manage their advertising businesses.",https://www.indeed.com/viewjob?jk=49013111b51c1d50
231,Senior Python Developer,"Portland, OR 97214 (Buckman area)",,"This is a remote (work from home) position, and we will consider a variety of desired employment arrangements, such full- and part-time employment, contracting,…",https://www.indeed.com/viewjob?jk=d13b06d1113de40c
232,Data Engineer - Paid Marketing,"Seattle, WA",,"Design and maintain python scripts to drive our paid search (PPC) automation platform, including customer audience lists, campaign re-structures and rule-based…",https://www.indeed.com/viewjob?jk=4dd87b8a57753a30
233,Python - Big Data,"Hillsboro, OR",$45 - $50 an hour,"Strong Analytical and problem solving ability and excellent communication and interpersonal skills.
 Strong Python Scripting and Data Analytics knowledge.",https://www.indeed.com/viewjob?jk=86d5ce394abace5a
234,python-developer,"San Francisco, CA 94121 (Outer Richmond area)",,"We are looking for candidates who have expertise in frontend and backend development.
 Writing reusable, testable, and efficient code.
 On-site | Full-time.",https://www.indeed.com/viewjob?jk=7363bacb02a91ef9
235,Player Support Operations Specialist (Games),"San Francisco, CA",,We provide global customer support and use tools to ensure a high-quality gameplay experience for tens of millions of users.,https://www.indeed.com/viewjob?jk=c3a284678b6100e8
236,Bioinformatics Analyst I,"Seattle, WA 98109 (South Lake Union area)",,"Gavin Ha and the Computational Biology Program is available immediately.
 Candidates who are excited about large/complex ‘omics’ data analysis and cancer…",https://www.indeed.com/viewjob?jk=3b96e0ed4f920d92
237,"Remote Technology Instructor - Winter Break Virtual Tech Cam...

new",Remote,,"Job Hours: Part-Time, specific times vary by course/camp and tutoring schedules.
 Weekend availability is a plus.
 Detailed curriculum and full-time support.",https://www.indeed.com/viewjob?jk=c2f00fd755a2e968
